metric,mean,std
baseline_accuracy,0.9736686849868033,0.018589799576866343
baseline_precision,0.9682543479911901,0.03240364211815605
baseline_recall,0.9915884194053209,0.012575980563728799
baseline_f1,0.9794339645403476,0.014227476627036736
coverage,0.8981369352585002,0.025811378702373735
uncertain_rate,0.10186306474149975,0.025811378702373735
non_uncertain_accuracy,0.9920926054869638,0.008404112523951788
non_uncertain_errors,0.8,0.8366600265340756
n_total,113.8,0.4472135954999579
n_non_uncertain,102.2,2.588435821108957
